date,average_calories,average_steps,average_sedentary,average_lightly,average_fairly,average_very,number_of_users
2016. 4. 12,2390.69697,8236.848485,1026.212121,199,7.848484848,22.3030303,33
2016. 4. 13,2286.636364,7198.727273,1021.787879,181.7575758,10.57575758,20.33333333,33
2016. 4. 14,2356.393939,7743.575758,1010.030303,201,12.39393939,20.93939394,33
2016. 4. 15,2355.181818,7533.848485,961.0606061,213.8484848,9.878787879,19.18181818,33
2016. 4. 16,2392.9375,8679.15625,1002.65625,193.8125,15.125,27.84375,32
2016. 4. 17,2230.96875,6409.25,1049.96875,165.34375,11.84375,18.90625,32
2016. 4. 18,2333.375,7896.96875,1061.21875,188.28125,16.125,24.40625,32
2016. 4. 19,2359.09375,8048.65625,1003.9375,201.90625,13.78125,23.96875,32
2016. 4. 20,2395.21875,8162.96875,974.125,203.59375,18.75,24.1875,32
2016. 4. 21,2421.875,8243.59375,1031.875,182.65625,14.9375,26.84375,32
2016. 4. 22,2327.65625,7446.375,1032.125,195.53125,13.25,24.4375,32
2016. 4. 23,2397.15625,8347.625,959.90625,232.90625,15.03125,18.78125,32
2016. 4. 24,2291.4375,7394.40625,992.15625,186.3125,13.71875,21.03125,32
2016. 4. 25,2349.5625,7932.78125,1038.6875,192.875,11.375,28.40625,32
2016. 4. 26,2331.375,7834,1025.40625,200.25,17.625,19.8125,32
2016. 4. 27,2328.5625,8078.625,1004.25,197.5625,10.78125,23.65625,32
2016. 4. 28,2316.0625,7593.625,981.71875,209.1875,11.8125,17.96875,32
2016. 4. 29,2272.5625,7321.53125,989.78125,204.96875,14,16.25,32
2016. 4. 30,2373.935484,8346,938.9032258,218.5483871,16.5483871,20.25806452,31
2016. 5. 1,2230.433333,6895.666667,953.5,160.2666667,15.7,22.63333333,30
2016. 5. 2,2275.448276,7049.448276,1027.413793,186.8275862,13.17241379,16.06896552,29
2016. 5. 3,2453.896552,8558.724138,1013.413793,203.3448276,14.82758621,24.93103448,29
2016. 5. 4,2283.137931,6763.758621,1037.172414,179.7931034,11.13793103,13.96551724,29
2016. 5. 5,2415.068966,8731.034483,1032.931034,207.2413793,15.44827586,22.06896552,29
2016. 5. 6,2375.068966,7492.655172,1021.482759,201.9310345,11.31034483,20.4137931,29
2016. 5. 7,2246.241379,7151.241379,953.8965517,181.2413793,14.03448276,20.62068966,29
2016. 5. 8,2303.444444,7049.407407,958.0740741,184.8148148,17.37037037,17.07407407,27
2016. 5. 9,2335.666667,8248.814815,976.3333333,201.1851852,15.48148148,22.85185185,27
2016. 5. 10,2229.346154,7951.423077,958.6923077,179.3461538,18.65384615,24.19230769,26
2016. 5. 11,2190.083333,7519.5,888.2083333,184.5416667,14.5,21.25,24
2016. 5. 12,1139.285714,3482.333333,652,98.80952381,2.142857143,4.19047619,21
